Level,Time,NodeName,PodNamespace,PodName,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 11:04:18.771,hostnode,hn,frontend-74b855d7b8-7fbgr,c30245d8-5651-4f6b-a7d9-1712bf6e4e88,4294976045,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,text-service-66d6fd5c8b-v9k4t,c310a012-592c-495e-90f2-168aa1cee704,4294975205,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,profile-54f6c7d985-v5ghx,c57a536e-ce39-4941-aff4-622d8fe82651,4294976297,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,url-shorten-memcached-844b6d854f-f5m7l,d48a2e27-ce92-48da-9b79-fed0072b5dbf,4294974533,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,d5eed4b3-8e52-4dc1-9c6e-da95a7b40277,4295080859,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,compose-post-service-5b5b7d59cc-4zs9g,d712ed1f-7a93-410f-82a6-ef80735a231c,4294974491,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,home-timeline-service-ff4b9db4f-vdjm5,da072777-52fd-4834-9c10-0ee0f82da1c9,4294974701,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,user-timeline-service-5454759db5-vnwvl,dc0f2321-e793-49e9-9ee1-937c87155298,4294974659,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,kube-proxy-49fw8,dc101e1d-3f1f-410b-b83e-ee7fac561bac,4294973996,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,kube-system,calico-node-87zh8,dcafcb5d-4d9d-4a0a-a50e-9b777755abe1,4294974038,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,post-storage-service-588b9754bb-cr94b,df7754d7-8bc5-4bec-8298-6777d24ad6ed,4294974911,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sn,media-mongodb-d697b6485-hzsvf,e142aae7-6ba9-48d3-b5bf-9d819ce77fac,4294974575,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,sa,feedback-inference-6-6649d68c48-8w8x2,e2decc3f-3382-4912-8838-e68559a26a98,4294975751,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,monitoring,prometheus-monitoring-kube-prometheus-prometheus-1,e702e69f-594f-4926-a262-6e6c1f000dcd,4295081642,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 11:04:18.771,hostnode,hn,consul-5f547dd555-vbfn4,ed5acd96-1b5b-4f18-8762-f8b4a711aa55,4294976255,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
