Level,Time,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 10:40:09.799,f8959bf3-7786-4a44-945d-eff1c489992a,4295080313,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,fa8a2c26-1ab8-41c4-8317-ac2e6d17ed89,4294974278,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
pod,2026-03-02 10:40:09.799,fc7fd578-af0d-4bb8-9e88-5d60e166f1d4,4294975541,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,,
node,2026-03-02 10:40:10.800,,,396.79,0.0172,0.0150,0.0150,8.0070,23030,1,5.73,46,6.69,368,19.275251,0.663735
pod,2026-03-02 10:40:10.800,0150e3da-bbb2-44fc-98a6-deb41f36babb,4294975919,1.84,0.1316,,,1.7240,14,0,0.00,0,0.00,0,0.013187,0.000000
pod,2026-03-02 10:40:10.800,02d60f47-e04a-4323-a4c0-f799fa0757ab,4295116802,0.02,0.0095,,,0.0110,2,0,0.00,0,0.00,0,0.093777,0.000000
pod,2026-03-02 10:40:10.800,02f33c1a-7b7d-4b1d-affc-3d48159aa4e1,4294975499,0.07,0.0070,,,0.0110,10,0,0.00,0,0.00,0,0.006521,0.000000
pod,2026-03-02 10:40:10.800,03b217b1-3eb0-43df-82d5-903db410307f,4294976759,0.64,0.0199,,,0.3100,32,0,0.00,0,0.18,3,0.013917,0.000000
pod,2026-03-02 10:40:10.800,05600750-6235-4cea-a85f-768f670b18ee,4294976129,0.04,0.0074,,,0.0120,5,0,0.00,0,0.00,0,0.001253,0.000000
pod,2026-03-02 10:40:10.800,09dd6cba-ae69-4561-9fcc-a8fbc26b78fc,4294976885,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,0bcb305f-c199-4f79-8255-5bfd30011440,4294976591,0.18,0.0064,,,0.0230,28,0,0.00,0,0.00,0,0.003983,0.000000
pod,2026-03-02 10:40:10.800,0f8edb85-6f09-4967-834b-c4e29026ce53,4294975247,4.39,0.0267,,,3.0140,164,0,0.00,0,0.12,4,0.061744,0.000000
