Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 13:49:20,15.0259,161.1770,539.6342
2026-02-17 13:49:23,236.7527,65.5845,1095.1935
2026-02-17 13:49:26,16.1931,62.2600,1464.4050
2026-02-17 13:49:29,27.7693,130.0324,1998.5699
2026-02-17 13:49:39,559.9434,203.8859,
2026-02-17 13:49:50,1006.2108,407.7702,
2026-02-17 13:50:00,462.3350,109.5825,
2026-02-17 13:50:12,1058.2384,435.0592,5270.8894
2026-02-17 13:50:22,472.2878,106.5839,2581.1185
2026-02-17 13:50:32,1197.5737,87.8786,
2026-02-17 13:50:43,768.8974,105.4553,
2026-02-17 13:50:53,828.8381,95.9138,
2026-02-17 13:51:03,638.8334,102.3913,2013.7883
2026-02-17 13:51:13,1241.3019,135.5024,
2026-02-17 13:51:23,301.1195,517.3060,
2026-02-17 13:51:33,987.0200,86.4974,1958.2241
2026-02-17 13:51:44,553.0732,83.1347,
2026-02-17 13:51:55,706.7738,78.4236,
2026-02-17 13:52:05,1382.2874,161.6161,
2026-02-17 13:52:15,731.7317,59.7644,
2026-02-17 13:52:25,378.3567,141.5619,4271.9260
2026-02-17 13:52:35,267.7846,183.2091,
2026-02-17 13:52:45,1032.5338,130.7338,
2026-02-17 13:52:56,1171.3196,98.9933,
2026-02-17 13:53:06,324.2940,167.3970,4521.8601
2026-02-17 13:53:16,819.0841,94.2879,
2026-02-17 13:53:26,438.1987,67.9884,
2026-02-17 13:53:36,391.3765,241.4684,3147.3361
2026-02-17 13:53:46,315.0879,264.9785,4418.0187
2026-02-17 13:53:58,647.5767,64.4900,4984.3182
2026-02-17 13:54:08,671.9923,82.5016,2388.3369
2026-02-17 13:54:18,203.8653,363.5135,3529.2518
2026-02-17 13:54:28,830.2817,387.9816,
2026-02-17 13:54:38,648.4617,128.7798,3157.2729
2026-02-17 13:54:48,429.5924,104.4515,3346.5619
2026-02-17 13:54:51,419.9861,110.8834,4611.5804
2026-02-17 13:54:56,363.3430,313.0880,1190.8790
2026-02-17 13:54:59,530.0356,32.4801,891.5158
2026-02-17 13:55:02,396.3627,48.4755,644.7643
2026-02-17 13:55:05,422.3955,249.1350,
2026-02-17 13:55:15,143.1872,131.5395,
2026-02-17 13:55:25,313.3625,375.5305,
2026-02-17 13:55:35,930.7013,159.9090,
2026-02-17 13:55:45,877.7678,162.5744,2629.1964
2026-02-17 13:55:55,177.1251,265.8831,
2026-02-17 13:56:05,553.5351,203.7178,
2026-02-17 13:56:16,670.5490,337.5993,
2026-02-17 13:56:27,561.6794,299.2206,4584.7832
2026-02-17 13:56:37,110.2403,89.6982,
2026-02-17 13:56:47,752.4865,319.6970,
2026-02-17 13:56:57,908.0515,135.3490,
2026-02-17 13:57:08,626.8861,265.5558,3023.2277
2026-02-17 13:57:18,487.4557,131.9632,3976.5590
2026-02-17 13:57:29,284.5958,108.1363,
2026-02-17 13:57:40,645.4046,144.1446,
2026-02-17 13:57:51,488.5060,170.9265,4257.5238
2026-02-17 13:58:02,950.3814,109.2953,
2026-02-17 13:58:12,719.9850,69.0945,3205.2145
2026-02-17 13:58:23,644.2135,120.5506,
2026-02-17 13:58:33,1082.2571,76.6347,
2026-02-17 13:58:43,1582.3340,96.8620,2266.3089
2026-02-17 13:58:53,1199.3150,360.3110,
2026-02-17 13:59:03,739.6949,75.5938,4059.8658
2026-02-17 13:59:13,470.1588,63.4210,5256.6197
2026-02-17 13:59:23,714.1828,122.4727,
2026-02-17 13:59:34,560.3404,112.7069,3831.3393
2026-02-17 13:59:45,210.4486,294.2936,4992.9371
2026-02-17 13:59:50,469.1494,291.0319,1642.6519
2026-02-17 13:59:53,491.7888,69.0569,
2026-02-17 14:00:03,1679.9231,126.6782,
2026-02-17 14:00:13,326.8397,168.7911,
2026-02-17 14:00:24,1103.1373,11.8889,
2026-02-17 14:00:34,1978.9506,11.1414,
2026-02-17 14:00:44,1129.3387,7.0577,
2026-02-17 14:00:54,106.1819,10.7066,3210.8461
2026-02-17 14:01:04,1597.3889,23.2297,2671.6676
2026-02-17 14:01:14,1123.7215,12.1844,9805.5188
2026-02-17 14:01:24,1253.1454,10.7136,2107.6925
2026-02-17 14:01:34,1085.1209,9.8827,
2026-02-17 14:01:44,971.4713,14.4083,
2026-02-17 14:01:54,854.4390,15.1896,1867.9411
2026-02-17 14:02:04,1779.2609,17.1111,
2026-02-17 14:02:14,295.9458,10.2362,
2026-02-17 14:02:24,752.6381,10.5910,3200.3993
2026-02-17 14:02:34,76.4378,11.4940,5029.5472
2026-02-17 14:02:44,1084.2865,14.6811,3266.6960
2026-02-17 14:02:54,1965.6285,9.9737,
2026-02-17 14:03:04,929.2101,12.3368,8646.9766
2026-02-17 14:03:13,863.3844,7.9469,418.6207
2026-02-17 14:03:16,1628.2049,14.2007,9850.0234
2026-02-17 14:03:26,621.0268,11.3440,7243.8082
2026-02-17 14:03:33,944.2839,10.8137,2039.2007
2026-02-17 14:03:43,1169.9217,8.9086,
2026-02-17 14:03:53,1077.2544,15.6092,7732.1872
2026-02-17 14:04:03,848.8424,11.5088,
2026-02-17 14:04:13,1743.0671,14.7735,
2026-02-17 14:04:23,1604.3164,18.8858,8313.8976
2026-02-17 14:04:32,836.7271,15.8183,6158.4681
2026-02-17 14:04:38,15.9543,8.7429,7004.2535
2026-02-17 14:04:45,18.5836,10.3054,6015.9200
2026-02-17 14:04:51,13.0896,7.9555,4160.6565
2026-02-17 14:04:55,15.2034,8.2008,1181.5958
2026-02-17 14:04:58,20.0074,18.6228,6667.0495
2026-02-17 14:05:05,24.9396,112.9135,4295.2678
2026-02-17 14:05:09,31.6284,84.8324,4271.5698
2026-02-17 14:05:14,21.6512,455.6727,6288.5155
2026-02-17 14:05:20,17.3156,142.6156,4359.0753
2026-02-17 14:05:24,26.5097,227.5004,3665.9243
2026-02-17 14:05:28,18.8619,35.9328,5590.0068
2026-02-17 14:05:34,17.7104,115.8567,5186.0318
