Time,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI,BaselineMode,BaselineSamples,Friction,Direction,dF_dt,Energy,Energy_W,Energy_Vol,Energy_kFactor
2026-02-17 13:31:03.860,427.89,0.0172,0.0150,0.0150,4.0090,24921,0,46.85,62,20.39,460,4.389291,0.347504,CALIBRATING,110,,,,,40,0.000000,1.000000
2026-02-17 13:31:04.860,359.46,0.0179,0.0150,0.0150,4.0080,20099,0,53.60,193,52.05,1043,2.710152,0.313225,CALIBRATING,111,,,,,40,0.000000,1.000000
2026-02-17 13:31:05.860,370.08,0.0214,0.0150,0.0150,4.6360,17279,0,70.88,39,27.17,547,3.170592,0.235088,CALIBRATING,112,,,,,40,0.000000,1.000000
2026-02-17 13:31:06.860,3026.02,0.1584,0.0150,0.0150,199.1060,19098,0,94.24,137,19.90,631,4.401793,10.668955,CALIBRATING,113,,,,,40,0.000000,1.000000
2026-02-17 13:31:07.860,427.33,0.0141,0.0150,0.0150,18.5340,30295,0,277.82,233,19.86,671,3.173508,0.451205,CALIBRATING,114,,,,,40,0.000000,1.000000
2026-02-17 13:31:08.860,347.06,0.0183,0.0150,0.0150,4.0010,18929,0,35.94,33,12.74,440,2.328516,0.255209,CALIBRATING,115,,,,,40,0.000000,1.000000
2026-02-17 13:31:09.860,342.07,0.0189,0.0150,0.0150,3.6330,18100,0,51.01,153,19.24,657,2.467011,0.237394,CALIBRATING,116,,,,,40,0.000000,1.000000
2026-02-17 13:31:10.860,350.23,0.0170,0.0150,0.0150,3.0730,20592,0,156.26,291,19.69,550,2.963133,0.230004,CALIBRATING,117,,,,,40,0.000000,1.000000
2026-02-17 13:31:11.860,358.49,0.0209,0.0150,0.0150,11.1840,17162,0,39.77,33,12.85,443,1.880518,0.332931,CALIBRATING,118,,,,,40,0.000000,1.000000
2026-02-17 13:31:12.860,364.45,0.0173,0.0150,0.0150,4.0090,21124,1,63.22,197,29.70,901,2.549087,0.259348,CALIBRATING,119,,,,,40,0.000000,1.000000
2026-02-17 13:31:13.860,395.22,0.0143,0.0150,0.0150,3.0750,27570,1,90.40,190,12.27,406,3.206160,0.404516,CALIBRATING,120,,,,,40,0.000000,1.000000
2026-02-17 13:31:14.860,338.24,0.0201,0.0150,0.0150,4.0160,16810,0,46.65,39,19.53,483,1.994727,0.233614,CALIBRATING,121,,,,,40,0.000000,1.000000
2026-02-17 13:31:15.860,445.27,0.0222,0.0150,0.0150,4.0230,20017,0,37.14,104,22.32,731,4.005969,0.405867,CALIBRATING,122,,,,,40,0.000000,1.000000
2026-02-17 13:31:16.860,359.18,0.0197,0.0150,0.0150,4.0980,18201,1,46.96,49,17.59,524,2.201835,0.267621,CALIBRATING,123,,,,,40,0.000000,1.000000
2026-02-17 13:31:17.860,370.39,0.0183,0.0150,0.0150,10.2190,20255,2,31.88,63,18.68,563,2.365098,0.278478,CALIBRATING,124,,,,,40,0.000000,1.000000
2026-02-17 13:31:18.860,409.46,0.0146,0.0150,0.0150,4.0720,28086,0,21.41,148,32.26,856,2.549087,0.446247,CALIBRATING,125,,,,,40,0.000000,1.000000
2026-02-17 13:31:19.860,384.29,0.0191,0.0150,0.0150,4.0050,20081,0,35.26,65,36.10,734,2.445746,0.325923,CALIBRATING,126,,,,,40,0.000000,1.000000
2026-02-17 13:31:20.860,338.82,0.0187,0.0150,0.0150,4.0060,18136,0,58.57,63,35.97,562,2.030748,0.225699,CALIBRATING,127,,,,,40,0.000000,1.000000
2026-02-17 13:31:21.860,861.62,0.0448,0.0150,0.0150,91.3470,19215,0,46.96,199,19.44,695,3.145448,5.057101,CALIBRATING,128,,,,,40,0.000000,1.000000
2026-02-17 13:31:22.860,376.10,0.0173,0.0150,0.0150,3.9590,21689,0,56.08,46,18.56,640,2.984047,0.283201,CALIBRATING,129,,,,,40,0.000000,1.000000
2026-02-17 13:31:23.860,2814.28,0.1116,0.0150,0.0150,99.7770,25224,1,27.24,26,14.48,446,2.409639,14.737844,CALIBRATING,130,,,,,40,0.000000,1.000000
2026-02-17 13:31:24.860,1569.72,0.0873,0.0150,0.0150,99.7780,17976,0,25.13,155,17.57,661,2.466445,6.442682,CALIBRATING,131,,,,,40,0.000000,1.000000
2026-02-17 13:31:25.860,351.79,0.0201,0.0150,0.0150,4.6120,17545,2,31.49,35,75.23,615,1.962359,0.273968,CALIBRATING,132,,,,,40,0.000000,1.000000
2026-02-17 13:31:26.860,371.24,0.0206,0.0150,0.0150,4.0000,18021,0,40.99,42,13.48,460,2.968822,0.257100,CALIBRATING,133,,,,,40,0.000000,1.000000
2026-02-17 13:31:27.860,393.50,0.0187,0.0150,0.0150,20.0290,21043,1,61.10,211,31.39,944,2.608896,0.351239,CALIBRATING,134,,,,,40,0.000000,1.000000
2026-02-17 13:31:28.860,3587.93,0.1312,0.0150,0.0150,199.0720,27340,1,33.95,30,13.86,477,2.464466,14.684791,CALIBRATING,135,,,,,40,0.000000,1.000000
2026-02-17 13:31:29.860,359.36,0.0199,0.0150,0.0150,4.6980,18053,0,36.06,36,12.04,435,2.361573,1.414337,CALIBRATING,136,,,,,40,0.000000,1.000000
2026-02-17 13:31:30.860,1056.88,0.0498,0.0150,0.0150,99.3460,21226,1,37.97,179,30.76,895,4.355821,3.287849,CALIBRATING,137,,,,,40,0.000000,1.000000
2026-02-17 13:31:31.860,354.93,0.0200,0.0150,0.0150,3.9080,17745,0,51.85,52,13.95,429,1.915577,0.276604,CALIBRATING,138,,,,,40,0.000000,1.000000
2026-02-17 13:31:32.860,1769.56,0.0862,0.0150,0.0150,99.7790,20535,0,31.22,42,18.98,615,2.377124,4.954894,CALIBRATING,139,,,,,40,0.000000,1.000000
2026-02-17 13:31:33.860,406.37,0.0154,0.0150,0.0150,4.0090,26350,2,57.87,152,27.65,769,2.653647,0.343719,CALIBRATING,140,,,,,40,0.000000,1.000000
2026-02-17 13:31:34.860,379.64,0.0189,0.0150,0.0150,11.6260,20092,0,67.79,98,27.28,768,2.617681,0.273811,CALIBRATING,141,,,,,40,0.000000,1.000000
2026-02-17 13:31:35.860,397.05,0.0160,0.0150,0.0150,4.0020,24850,0,230.57,397,42.35,580,3.079752,0.290409,CALIBRATING,142,,,,,40,0.000000,1.000000
